Episode,Step,Reward,Epsilon,NumberOf_RandomAction_PerEpisode,Numberof_UsingQnetwork_PerEpisode
0,7,0.0,1.0,7,0
250,5,0.0,0.285607880564032,2,3
500,7,0.0,0.08157186144027828,0,7
750,19,1.0,0.023297566459620722,1,18
1000,65,1.0,0.00998645168764533,0,65
1250,34,1.0,0.00998645168764533,0,34
1500,25,1.0,0.00998645168764533,0,25
1750,27,1.0,0.00998645168764533,1,26
2000,47,1.0,0.00998645168764533,2,45
2250,23,1.0,0.00998645168764533,0,23
2500,78,1.0,0.00998645168764533,2,76
2750,100,0.0,0.00998645168764533,0,100
3000,100,0.0,0.00998645168764533,0,100
3250,14,0.0,0.00998645168764533,1,13
3500,32,0.0,0.00998645168764533,1,31
3750,22,1.0,0.00998645168764533,1,21
4000,70,1.0,0.00998645168764533,0,70
4250,14,0.0,0.00998645168764533,1,13
4500,100,0.0,0.00998645168764533,3,97
4750,100,0.0,0.00998645168764533,1,99
5000,19,1.0,0.00998645168764533,0,19
5250,14,0.0,0.00998645168764533,0,14
5500,49,1.0,0.00998645168764533,1,48
5750,31,0.0,0.00998645168764533,0,31
